,Chamissoa_altissima,Xylopia_brasiliensis,Dendropanax_cuneatum,Cordia_sp.,Protium_heptaphyllum,Pereskia_aculeata,Rhipsalis_sp.,copaifera_langsdorffii,Cecropia_pachystachia,Maytenus_aquifolium,Momordica_charantia,Pera_glabrata,Ocotea_corimbosa,Ocotea_cf._macropoda,Ocotea_sp.,Persia_cf._major,Talauma_ovata,Miconia_elegans,Miconia_discolor,Miconia_sp.,Cabralea_canjerana,Trichilia_clauseni,Chlorophora_tinctoria,Ficus_luschnatiana,Gomidesia_affinis,Piper_sp.,Rubus_sp.,Palicourea_sp.,Zanthoxylum_hyemale,Paullinia_rhomboidea,Paullinia_sp.,Cestrum_sp.,Trema_micrantha,Urera_baccifera,Citharexylum_mirianthum
Penelope_superciliaris,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramphastos_toco,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tityra_cayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiroxiphia_caudata,2,0,2,0,3,1,0,0,1,0,0,1,0,4,1,0,0,2,5,0,1,1,0,1,6,0,1,1,0,0,0,0,5,0,6
Manacus_manacus,2,0,5,0,0,0,0,0,2,2,0,2,0,2,0,0,1,0,0,2,0,0,0,0,1,0,1,1,0,1,0,0,5,4,1
Sirystes_sibilator,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrannus_savanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Tyrannus_melancholicus,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Myiodynastes_maculatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,4
Pitangus_sulphuratus,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,1,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myiophobus_fasciatus,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elaenia_flavogaster,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0
Cyanocorax_cristatellus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turdus_rufiventris,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Turdus_amaurochalinus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclarhis_gujanensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
Vireo_olivaceus,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,9,0,0,0,7,0,0
Coereba_flaveola,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Dacnis_cayana,1,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,5,0,0,0,6,0,0
Conirostrum_speciosum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pipraeidea_melanonota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tangara_cayana,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
Thraupis_sayaca,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
Ramphocelus_carbo,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
Habia_rubica,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0
Tachyphonus_coronatus,5,0,0,1,0,1,1,0,16,0,1,7,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,10,12,0
Trichothraupis_melanops,11,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,12,7,0
Thlypopsis_sordida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0
Saltator_similis,2,0,8,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,12,0,1
