,Laetia procera,Clusia spp.,Sloanea stipilata,Byrsonima spicata,Protium heptaphyllum,Cupania sp.,Ilex sp.,Calycolpus glaber,Eugenia baileyi,Myrcia leptoclada,Myrcia sp.,Psidium guajava,Clidemia spp.,Henriettea sp.,Miconia spp.,Didymopanax morototoni,Chiococca alba,Coussarea paniculata,Isertia parviflora,Psychotria spp.,Cordia curassavica,Cordia bicolor,Aegiphilia integrifolia,Alchornea glandulosa,Hieronyma caribaea,Sapium aucuparium,Trema micrantha,Piper sp.,Castilloa elastica,Cecropia peltata,Ficus citrifolia,Ficus clusiifolia,Ficus tobagensis,Davilla aspera,Doliocarpus dentatus,Lacistema aggregatum,Norantea guianensis,Rourea surinamensis,Wulffia baccata,Anthurium gracile,Anthurium scandens,Aechmaea dichlamydea,Aechmaea mertensii,Aechmaea nudicaulis,Gravisia aquilega,Unid.spp.,Rhipsalis sp.,Div. spp.,Phytolacca rivinoides,Solanum sp.
Tangara guttata,0,0,1,0,0,0,0,0,0,0,1,0,0,0,40,0,0,0,0,1,0,0,0,9,4,2,12,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tangara gyrola,0,0,7,10,6,0,3,0,0,11,0,0,2,1,127,13,1,0,0,2,0,5,2,13,14,1,39,0,0,72,15,48,4,0,0,3,1,0,1,0,0,0,0,0,0,0,0,2,0,2
Tangara mexicana,8,0,0,0,13,0,20,1,3,0,3,3,0,0,74,1,15,0,0,0,7,3,1,0,3,0,11,0,0,31,4,17,2,0,0,5,0,0,0,0,0,0,0,0,0,0,2,10,0,0
Thraupis episcopus,1,0,1,0,9,0,0,2,1,0,0,0,0,0,17,33,0,6,0,0,2,5,0,1,0,0,2,10,5,26,0,8,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thraupis palmarum,3,0,1,0,12,0,0,2,3,0,0,0,0,0,35,49,0,2,0,0,0,5,0,14,0,0,1,0,0,18,0,11,0,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Ramphocelus carbo,5,0,2,0,2,0,1,2,0,0,0,4,27,2,153,5,0,5,2,0,18,0,0,0,0,0,1,0,1,17,0,0,3,5,0,1,0,0,2,1,0,2,2,0,14,2,0,0,1,3
Tachyphonus rufus,1,0,4,0,9,0,0,0,0,0,0,0,9,2,23,0,0,4,3,0,1,4,0,0,1,0,3,0,0,18,2,3,0,1,0,0,0,0,0,4,3,1,2,7,29,3,0,3,1,0
Tachyphonus luctuosus,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Euphonia violacea,0,0,0,0,5,0,0,0,0,1,0,0,3,0,17,0,1,1,0,0,0,0,0,0,0,0,29,9,0,0,3,7,3,0,0,0,0,0,0,4,19,0,0,38,0,0,32,29,0,0
Cyanerpes caeruleus,0,14,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,11,1,1,27,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0
Cyanerpes cyaneus,0,1,4,0,0,8,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorophanes spiza,0,3,0,0,4,0,0,0,0,0,0,0,0,0,80,2,3,0,0,0,0,0,0,13,5,2,34,0,0,5,0,12,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0
Dacnis cayana,7,2,2,1,4,0,0,1,0,0,0,0,0,0,52,4,0,0,0,0,0,0,0,16,4,12,13,0,0,3,0,1,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0,2,0,0
Coereba flaveola,0,0,2,0,0,1,0,1,0,0,0,0,0,0,12,1,0,0,0,0,1,5,0,0,1,8,3,0,0,4,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0
